price,year,manufacturer,model,condition,fuel,odometer,title_status,transmission,drive,type,paint_color,state,cylinders_num
39590,2020.0,Chevrolet,Chevrolet Silverado 1500,good,gas,19160.0,clean,other,4wd,pickup,red,al,8.0
5900,1998.0,Ford,Ford F-150,excellent,gas,214000.0,clean,automatic,4wd,truck,red,al,8.0
30990,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,58116.0,clean,other,4wd,pickup,silver,al,6.0
3750,1997.0,Ford,Ford F-150,good,gas,150000.0,clean,automatic,rwd,pickup,Unknown,al,8.0
3500,2003.0,Toyota,Toyota Camry,good,gas,237000.0,clean,automatic,fwd,sedan,Unknown,al,4.0
27995,2017.0,Ford,Ford F-150,good,gas,101000.0,clean,automatic,4wd,pickup,Unknown,al,8.0
37500,2018.0,Ford,Ford F-150,fair,gas,30026.0,clean,automatic,4wd,pickup,blue,al,8.0
45000,2017.0,Chevrolet,Chevrolet Silverado 1500,excellent,gas,92000.0,clean,automatic,4wd,truck,red,al,8.0
2675,1996.0,Toyota,Toyota Camry,like new,gas,164719.0,clean,automatic,fwd,sedan,green,al,4.0
37590,2019.0,Ford,Ford F-150,good,gas,8663.0,clean,other,4wd,pickup,Unknown,al,6.0
4499,2005.0,Toyota,Toyota Camry,like new,gas,170687.0,clean,automatic,fwd,sedan,blue,al,4.0
8950,2011.0,Ford,Ford F-150,excellent,gas,164000.0,clean,automatic,fwd,truck,white,al,6.0
24590,2017.0,Chevrolet,Chevrolet Silverado 1500,good,gas,40784.0,clean,other,4wd,pickup,white,al,6.0
34590,2018.0,Ford,Ford F-150,good,gas,20856.0,clean,other,4wd,pickup,white,al,6.0
4000,2002.0,Toyota,Toyota Camry,like new,gas,160000.0,clean,automatic,fwd,sedan,white,al,4.0
10800,2013.0,Toyota,Toyota Camry,excellent,hybrid,147000.0,clean,automatic,fwd,sedan,grey,al,4.0
31990,2016.0,Chevrolet,Chevrolet Silverado 1500,like new,gas,107597.0,clean,automatic,4wd,pickup,white,al,8.0
21990,2019.0,Toyota,Toyota Camry,good,other,5607.0,clean,other,fwd,sedan,red,al,4.0
33995,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,115000.0,clean,automatic,4wd,pickup,Unknown,al,8.0
24888,2019.0,Ford,Ford F-150,excellent,gas,8176.0,clean,automatic,rwd,pickup,white,al,6.0
29800,2019.0,Chevrolet,Chevrolet Silverado 1500,good,gas,39000.0,clean,automatic,4wd,pickup,red,al,8.0
12499,2012.0,Toyota,Toyota Camry,good,gas,64950.0,clean,automatic,fwd,sedan,red,al,4.0
7999,2007.0,Toyota,Toyota Camry,good,gas,67650.0,clean,automatic,fwd,sedan,custom,al,6.0
17989,2018.0,Toyota,Toyota Camry,fair,gas,120943.0,clean,automatic,fwd,sedan,silver,al,4.0
12995,2008.0,Ford,Ford F-150,good,gas,93146.0,clean,automatic,4wd,pickup,green,al,8.0
26990,2016.0,Ford,Ford F-150,good,gas,14230.0,clean,other,4wd,pickup,black,al,6.0
20900,2017.0,Ford,Ford F-150,good,gas,147124.0,clean,automatic,4wd,pickup,white,al,8.0
3500,2006.0,Ford,Ford F-150,fair,gas,246000.0,clean,automatic,4wd,pickup,Unknown,al,6.0
2675,1996.0,Toyota,Toyota Camry,like new,gas,164719.0,clean,automatic,fwd,sedan,green,al,4.0
21800,2018.0,Ford,Ford F-150,good,gas,143603.0,clean,automatic,4wd,pickup,silver,al,8.0
31500,2019.0,Ford,Ford F-150,good,gas,106054.0,clean,automatic,4wd,pickup,white,al,6.0
7500,2012.0,Chevrolet,Chevrolet Silverado 1500,excellent,gas,212000.0,clean,automatic,rwd,truck,white,al,6.0
34590,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,29499.0,clean,other,4wd,pickup,silver,al,6.0
32990,2019.0,Chevrolet,Chevrolet Silverado 1500,good,other,6897.0,clean,other,4wd,pickup,black,al,8.0
8500,2011.0,Toyota,Toyota Camry,excellent,gas,114500.0,clean,automatic,fwd,sedan,blue,al,4.0
8950,2011.0,Ford,Ford F-150,excellent,gas,164000.0,clean,automatic,fwd,truck,white,al,6.0
4499,2005.0,Toyota,Toyota Camry,like new,gas,170687.0,clean,automatic,fwd,sedan,blue,al,4.0
36990,2017.0,Ford,Ford F-150,good,other,15443.0,clean,automatic,4wd,pickup,red,al,6.0
26990,2014.0,Chevrolet,Chevrolet Silverado 1500,good,gas,63129.0,clean,automatic,4wd,pickup,black,al,6.0
33990,2016.0,Chevrolet,Chevrolet Silverado 1500,like new,gas,117895.0,clean,automatic,4wd,pickup,white,al,8.0
4500,2005.0,Toyota,Toyota Camry,like new,gas,170000.0,clean,automatic,fwd,sedan,white,al,4.0
24888,2019.0,Ford,Ford F-150,excellent,gas,8176.0,clean,automatic,rwd,pickup,white,al,6.0
3500,2003.0,Toyota,Toyota Camry,good,gas,237000.0,clean,automatic,fwd,sedan,Unknown,al,4.0
37900,2020.0,Chevrolet,Chevrolet Silverado 1500,like new,gas,5622.0,clean,automatic,rwd,truck,white,al,8.0
29900,2019.0,Ford,Ford F-150,like new,gas,23004.0,clean,automatic,rwd,truck,white,al,8.0
3999,2001.0,Ford,Ford F-150,like new,gas,228680.0,clean,automatic,rwd,mini-van,Unknown,al,6.0
22590,2013.0,Ford,Ford F-150,good,other,14169.0,clean,other,4wd,pickup,silver,al,6.0
24990,2012.0,Chevrolet,Chevrolet Silverado 1500,good,gas,26460.0,clean,other,4wd,pickup,red,al,8.0
16700,2013.0,Ford,Ford F-150,excellent,gas,180917.0,clean,other,4wd,truck,Unknown,al,8.0
26900,2019.0,Ford,Ford F-150,excellent,gas,8176.0,clean,automatic,rwd,pickup,white,al,6.0
10000,1994.0,Ford,Ford F-150,good,gas,76572.0,clean,automatic,rwd,pickup,white,al,8.0
2595,2003.0,Ford,Ford F-150,excellent,gas,149055.0,clean,automatic,4wd,pickup,red,al,8.0
6950,1998.0,Ford,Ford F-150,excellent,gas,206000.0,clean,automatic,rwd,truck,green,al,8.0
18877,2017.0,Toyota,Toyota Camry,like new,gas,52822.0,clean,automatic,fwd,sedan,silver,al,4.0
10980,2012.0,Ford,Ford F-150,good,gas,178000.0,clean,automatic,4wd,pickup,Unknown,al,6.0
27897,2013.0,Chevrolet,Chevrolet Silverado 1500,good,gas,55033.0,clean,other,rwd,truck,red,al,8.0
21790,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,100662.0,clean,automatic,rwd,pickup,white,al,6.0
24958,2020.0,Toyota,Toyota Camry,good,gas,4862.0,clean,automatic,fwd,sedan,white,al,4.0
4499,2005.0,Toyota,Toyota Camry,like new,gas,170687.0,clean,automatic,fwd,sedan,blue,al,4.0
3800,2000.0,Toyota,Toyota Camry,like new,gas,164814.0,clean,automatic,fwd,sedan,Unknown,al,4.0
20989,2019.0,Toyota,Toyota Camry,good,gas,43464.0,clean,automatic,fwd,sedan,white,al,4.0
32500,2019.0,Ford,Ford F-150,like new,gas,7700.0,clean,automatic,rwd,truck,grey,al,6.0
12995,2008.0,Ford,Ford F-150,good,gas,93146.0,clean,automatic,4wd,pickup,green,al,8.0
37500,2018.0,Ford,Ford F-150,fair,gas,30026.0,clean,automatic,4wd,pickup,blue,al,8.0
8950,2011.0,Ford,Ford F-150,excellent,gas,164000.0,clean,automatic,fwd,truck,white,al,6.0
11700,2007.0,Chevrolet,Chevrolet Silverado 1500,good,gas,155000.0,clean,automatic,4wd,pickup,black,al,8.0
16477,2011.0,Chevrolet,Chevrolet Silverado 1500,good,gas,178349.0,clean,automatic,4wd,pickup,silver,al,8.0
31990,2016.0,Chevrolet,Chevrolet Silverado 1500,like new,gas,107597.0,clean,automatic,4wd,pickup,white,al,8.0
23477,2013.0,Ford,Ford F-150,good,gas,127350.0,clean,automatic,4wd,pickup,silver,al,8.0
22950,2014.0,Ford,Ford F-150,excellent,gas,166380.0,clean,automatic,4wd,truck,black,al,8.0
4000,2002.0,Toyota,Toyota Camry,like new,gas,160000.0,clean,automatic,fwd,sedan,white,al,4.0
17989,2015.0,Toyota,Toyota Camry,fair,gas,65381.0,clean,automatic,fwd,sedan,Unknown,al,4.0
5600,2008.0,Toyota,Toyota Camry,good,diesel,133244.0,clean,automatic,fwd,sedan,grey,al,4.0
8950,2011.0,Ford,Ford F-150,excellent,gas,164000.0,clean,automatic,fwd,truck,white,al,6.0
31500,2019.0,Ford,Ford F-150,good,gas,106054.0,clean,automatic,4wd,pickup,white,al,6.0
21800,2018.0,Ford,Ford F-150,good,gas,143603.0,clean,automatic,4wd,pickup,silver,al,8.0
32990,2018.0,Ford,Ford F-150,good,other,11360.0,clean,other,4wd,pickup,white,al,6.0
33590,2020.0,Chevrolet,Chevrolet Silverado 1500,good,other,15591.0,clean,other,4wd,pickup,white,al,6.0
34990,2020.0,Ford,Ford F-150,good,gas,12562.0,clean,other,4wd,pickup,Unknown,al,6.0
7977,2007.0,Toyota,Toyota Camry,good,gas,117148.0,clean,automatic,fwd,convertible,red,al,6.0
30900,2015.0,Chevrolet,Chevrolet Silverado 1500,good,gas,114800.0,clean,automatic,4wd,truck,custom,al,8.0
24900,2015.0,Chevrolet,Chevrolet Silverado 1500,good,gas,119569.0,clean,automatic,rwd,truck,white,al,8.0
6800,2003.0,Ford,Ford F-150,excellent,gas,190000.0,clean,automatic,4wd,truck,white,al,8.0
6500,2011.0,Toyota,Toyota Camry,good,gas,214000.0,clean,automatic,fwd,sedan,black,al,6.0
35500,2019.0,Chevrolet,Chevrolet Silverado 1500,like new,gas,7189.0,clean,automatic,4wd,truck,black,al,8.0
17989,2018.0,Toyota,Toyota Camry,fair,gas,120943.0,clean,automatic,fwd,sedan,silver,al,4.0
4795,2001.0,Chevrolet,Chevrolet Silverado 1500,excellent,gas,141005.0,clean,automatic,4wd,pickup,black,al,8.0
18900,2015.0,Ford,Ford F-150,good,gas,112165.0,clean,automatic,rwd,truck,white,al,6.0
33990,2016.0,Chevrolet,Chevrolet Silverado 1500,like new,gas,117895.0,clean,automatic,4wd,pickup,white,al,8.0
18950,2010.0,Ford,Ford F-150,good,gas,151403.0,clean,automatic,4wd,pickup,black,al,8.0
20900,2013.0,Ford,Ford F-150,good,gas,152233.0,clean,automatic,4wd,truck,grey,al,6.0
18590,2017.0,Toyota,Toyota Camry,good,gas,30223.0,clean,other,fwd,sedan,silver,al,4.0
35990,2016.0,Ford,Ford F-150,like new,gas,57838.0,clean,automatic,4wd,pickup,black,al,6.0
21800,2018.0,Ford,Ford F-150,good,gas,143603.0,clean,automatic,4wd,pickup,silver,al,8.0
3500,2003.0,Toyota,Toyota Camry,good,gas,237000.0,clean,automatic,fwd,sedan,Unknown,al,4.0
37900,2020.0,Chevrolet,Chevrolet Silverado 1500,like new,gas,5622.0,clean,automatic,rwd,truck,white,al,8.0
32990,2018.0,Ford,Ford F-150,good,gas,20558.0,clean,other,4wd,pickup,Unknown,al,8.0
41990,2019.0,Chevrolet,Chevrolet Silverado 1500,good,gas,10079.0,clean,other,4wd,pickup,red,al,4.0
33990,2018.0,Ford,Ford F-150,good,other,26732.0,clean,other,4wd,pickup,Unknown,al,6.0
29988,2019.0,Ford,Ford F-150,good,gas,41323.0,clean,automatic,rwd,pickup,black,al,8.0
24958,2020.0,Toyota,Toyota Camry,good,gas,4862.0,clean,automatic,fwd,sedan,white,al,4.0
12995,2008.0,Ford,Ford F-150,good,gas,93146.0,clean,automatic,4wd,pickup,green,al,8.0
33590,2020.0,Chevrolet,Chevrolet Silverado 1500,good,gas,30457.0,clean,other,4wd,pickup,red,al,8.0
31500,2019.0,Ford,Ford F-150,good,gas,106054.0,clean,automatic,4wd,pickup,white,al,6.0
27900,2018.0,Ford,Ford F-150,good,gas,50396.0,clean,automatic,rwd,pickup,red,al,6.0
20989,2019.0,Toyota,Toyota Camry,good,gas,43464.0,clean,automatic,fwd,sedan,white,al,4.0
37500,2018.0,Ford,Ford F-150,fair,gas,30026.0,clean,automatic,4wd,pickup,blue,al,8.0
40000,2017.0,Ford,Ford F-150,like new,gas,44000.0,clean,automatic,rwd,truck,blue,al,6.0
12977,2010.0,Ford,Ford F-150,good,gas,200224.0,clean,automatic,4wd,pickup,Unknown,al,8.0
22590,2010.0,Chevrolet,Chevrolet Silverado 1500,good,gas,71229.0,clean,other,4wd,pickup,blue,al,8.0
39590,2020.0,Chevrolet,Chevrolet Silverado 1500,good,gas,19160.0,clean,other,4wd,pickup,red,al,8.0
51325,2020.0,Ford,Ford F-150,good,gas,5503.0,clean,automatic,4wd,pickup,Unknown,al,6.0
42532,2018.0,Ford,Ford F-150,good,gas,22818.0,clean,automatic,4wd,pickup,Unknown,al,6.0
34590,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,29499.0,clean,other,4wd,pickup,silver,al,6.0
24590,2017.0,Chevrolet,Chevrolet Silverado 1500,good,gas,40784.0,clean,other,4wd,pickup,white,al,6.0
34590,2018.0,Ford,Ford F-150,good,gas,20856.0,clean,other,4wd,pickup,white,al,6.0
38990,2020.0,Ford,Ford F-150,good,gas,12231.0,clean,other,4wd,pickup,Unknown,al,6.0
43499,2020.0,Chevrolet,Chevrolet Silverado 1500,good,gas,28710.0,clean,automatic,4wd,pickup,Unknown,al,8.0
52905,2020.0,Ford,Ford F-150,good,gas,7655.0,clean,automatic,4wd,pickup,Unknown,al,6.0
24000,2018.0,Toyota,Toyota Camry,excellent,gas,38000.0,clean,automatic,fwd,sedan,Unknown,al,4.0
17998,2017.0,Toyota,Toyota Camry,excellent,gas,43184.0,clean,automatic,fwd,SUV,black,al,4.0
35758,2018.0,Ford,Ford F-150,good,gas,51758.0,clean,automatic,4wd,pickup,Unknown,al,6.0
54241,2020.0,Ford,Ford F-150,good,gas,11994.0,clean,automatic,4wd,pickup,Unknown,al,6.0
26990,2016.0,Ford,Ford F-150,good,gas,14230.0,clean,other,4wd,pickup,black,al,6.0
51910,2020.0,Ford,Ford F-150,good,gas,15168.0,clean,automatic,4wd,pickup,Unknown,al,6.0
34978,2018.0,Ford,Ford F-150,good,gas,55060.0,clean,automatic,4wd,pickup,Unknown,al,6.0
32990,2019.0,Chevrolet,Chevrolet Silverado 1500,good,other,6897.0,clean,other,4wd,pickup,black,al,8.0
29990,2014.0,Chevrolet,Chevrolet Silverado 1500,good,gas,26129.0,clean,other,4wd,pickup,brown,al,8.0
23990,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,41568.0,clean,other,4wd,pickup,white,al,6.0
26990,2014.0,Chevrolet,Chevrolet Silverado 1500,good,gas,63129.0,clean,automatic,4wd,pickup,black,al,6.0
54852,2020.0,Ford,Ford F-150,good,gas,6487.0,clean,automatic,4wd,pickup,Unknown,al,8.0
34069,2017.0,Ford,Ford F-150,good,gas,37323.0,clean,automatic,4wd,pickup,Unknown,al,6.0
6500,2007.0,Chevrolet,Chevrolet Silverado 1500,good,gas,233000.0,clean,automatic,4wd,truck,white,al,8.0
33464,2018.0,Ford,Ford F-150,good,gas,55864.0,clean,automatic,4wd,pickup,Unknown,al,6.0
22590,2013.0,Ford,Ford F-150,good,other,14169.0,clean,other,4wd,pickup,silver,al,6.0
32560,2018.0,Ford,Ford F-150,good,gas,44849.0,clean,automatic,4wd,pickup,Unknown,al,6.0
37590,2019.0,Ford,Ford F-150,good,gas,8663.0,clean,other,4wd,pickup,Unknown,al,6.0
32831,2018.0,Ford,Ford F-150,good,gas,41380.0,clean,automatic,4wd,pickup,Unknown,al,6.0
54258,2020.0,Ford,Ford F-150,good,gas,10378.0,clean,automatic,4wd,pickup,Unknown,al,8.0
3800,2003.0,Toyota,Toyota Camry,good,gas,150042.0,clean,automatic,fwd,convertible,Unknown,al,6.0
52140,2020.0,Ford,Ford F-150,good,gas,4011.0,clean,automatic,4wd,pickup,Unknown,al,6.0
52242,2020.0,Ford,Ford F-150,good,gas,9155.0,clean,automatic,4wd,pickup,Unknown,al,6.0
61998,2020.0,Ford,Ford F-150,excellent,gas,11594.0,clean,automatic,4wd,pickup,Unknown,al,6.0
54488,2020.0,Ford,Ford F-150,good,gas,5459.0,clean,automatic,4wd,pickup,Unknown,al,6.0
14500,2013.0,Chevrolet,Chevrolet Silverado 1500,good,gas,168700.0,clean,automatic,4wd,pickup,Unknown,al,8.0
23500,2015.0,Chevrolet,Chevrolet Silverado 1500,excellent,gas,132200.0,clean,automatic,4wd,truck,white,al,8.0
39998,2016.0,Ford,Ford F-150,excellent,gas,74046.0,clean,automatic,4wd,pickup,black,al,6.0
43063,2018.0,Ford,Ford F-150,excellent,gas,64983.0,clean,automatic,4wd,pickup,white,al,6.0
55000,2019.0,Chevrolet,Chevrolet Silverado 1500,like new,gas,58000.0,clean,automatic,4wd,truck,white,al,8.0
51325,2020.0,Ford,Ford F-150,good,gas,5503.0,clean,automatic,4wd,pickup,Unknown,al,6.0
27990,2015.0,Ford,Ford F-150,good,other,56080.0,clean,other,4wd,pickup,Unknown,al,6.0
37180,2018.0,Ford,Ford F-150,good,gas,38374.0,clean,automatic,4wd,pickup,Unknown,al,6.0
18590,2017.0,Toyota,Toyota Camry,good,gas,30223.0,clean,other,fwd,sedan,silver,al,4.0
36990,2018.0,Ford,Ford F-150,good,gas,10170.0,clean,other,4wd,pickup,black,al,8.0
33590,2020.0,Chevrolet,Chevrolet Silverado 1500,good,other,15591.0,clean,other,4wd,pickup,white,al,6.0
3000,2005.0,Ford,Ford F-150,fair,gas,150000.0,clean,automatic,rwd,truck,blue,al,8.0
4800,2006.0,Ford,Ford F-150,good,gas,205000.0,clean,automatic,4wd,pickup,Unknown,al,6.0
58998,2020.0,Ford,Ford F-150,excellent,gas,3421.0,clean,automatic,4wd,pickup,black,al,6.0
66998,2020.0,Ford,Ford F-150,excellent,gas,10966.0,clean,automatic,4wd,pickup,white,al,6.0
20998,2018.0,Toyota,Toyota Camry,excellent,gas,55610.0,clean,automatic,fwd,SUV,Unknown,al,4.0
37998,2018.0,Ford,Ford F-150,excellent,gas,49103.0,clean,automatic,4wd,pickup,silver,al,8.0
39590,2019.0,Chevrolet,Chevrolet Silverado 1500,good,gas,21014.0,clean,other,4wd,pickup,brown,al,4.0
24590,2017.0,Chevrolet,Chevrolet Silverado 1500,good,gas,40784.0,clean,other,4wd,pickup,white,al,6.0
33990,2018.0,Ford,Ford F-150,good,other,13670.0,clean,other,4wd,pickup,black,al,6.0
34590,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,29499.0,clean,other,4wd,pickup,silver,al,6.0
26990,2016.0,Ford,Ford F-150,good,gas,14230.0,clean,other,4wd,pickup,black,al,6.0
36590,2019.0,Chevrolet,Chevrolet Silverado 1500,good,gas,7619.0,clean,other,4wd,pickup,white,al,8.0
23990,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,41568.0,clean,other,4wd,pickup,white,al,6.0
36990,2017.0,Ford,Ford F-150,good,other,15443.0,clean,automatic,4wd,pickup,red,al,6.0
12900,2013.0,Ford,Ford F-150,good,gas,216000.0,clean,automatic,4wd,truck,white,al,8.0
22590,2013.0,Ford,Ford F-150,good,other,14169.0,clean,other,4wd,pickup,silver,al,6.0
12500,2011.0,Ford,Ford F-150,good,gas,197000.0,clean,automatic,4wd,pickup,Unknown,al,8.0
18590,2017.0,Toyota,Toyota Camry,good,gas,30223.0,clean,other,fwd,sedan,silver,al,4.0
39590,2020.0,Chevrolet,Chevrolet Silverado 1500,good,gas,19160.0,clean,other,4wd,pickup,red,al,8.0
37590,2019.0,Ford,Ford F-150,good,gas,8663.0,clean,other,4wd,pickup,Unknown,al,6.0
19000,2011.0,Chevrolet,Chevrolet Silverado 1500,good,gas,187700.0,clean,automatic,4wd,pickup,white,al,8.0
9800,2004.0,Chevrolet,Chevrolet Silverado 1500,good,gas,218088.0,clean,automatic,4wd,offroad,Unknown,al,8.0
10500,2007.0,Ford,Ford F-150,excellent,gas,183000.0,clean,automatic,4wd,truck,white,al,8.0
34590,2018.0,Ford,Ford F-150,good,gas,20856.0,clean,other,4wd,pickup,white,al,6.0
26990,2016.0,Ford,Ford F-150,good,gas,14230.0,clean,other,4wd,pickup,black,al,6.0
24590,2017.0,Chevrolet,Chevrolet Silverado 1500,good,gas,40784.0,clean,other,4wd,pickup,white,al,6.0
8000,2002.0,Ford,Ford F-150,good,gas,219000.0,clean,automatic,4wd,truck,blue,al,8.0
34590,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,29499.0,clean,other,4wd,pickup,silver,al,6.0
26990,2014.0,Chevrolet,Chevrolet Silverado 1500,good,gas,63129.0,clean,automatic,4wd,pickup,black,al,6.0
36990,2017.0,Ford,Ford F-150,good,other,15443.0,clean,automatic,4wd,pickup,red,al,6.0
22590,2013.0,Ford,Ford F-150,good,other,14169.0,clean,other,4wd,pickup,silver,al,6.0
1000,2006.0,Toyota,Toyota Camry,fair,gas,250000.0,clean,automatic,fwd,sedan,silver,al,4.0
18590,2017.0,Toyota,Toyota Camry,good,gas,30223.0,clean,other,fwd,sedan,silver,al,4.0
7400,2011.0,Toyota,Toyota Camry,good,gas,192000.0,clean,automatic,fwd,sedan,Unknown,al,4.0
39590,2020.0,Chevrolet,Chevrolet Silverado 1500,good,gas,19160.0,clean,other,4wd,pickup,red,al,8.0
18400,2012.0,Ford,Ford F-150,like new,other,159936.0,clean,automatic,4wd,pickup,white,al,8.0
23699,2012.0,Chevrolet,Chevrolet Silverado 1500,like new,other,102212.0,clean,automatic,4wd,pickup,red,al,8.0
16495,2008.0,Ford,Ford F-150,excellent,gas,154069.0,clean,automatic,4wd,truck,white,al,8.0
12995,2008.0,Ford,Ford F-150,good,gas,93146.0,clean,automatic,4wd,pickup,green,al,8.0
30990,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,58116.0,clean,other,4wd,pickup,silver,al,6.0
37590,2019.0,Ford,Ford F-150,good,gas,8663.0,clean,other,4wd,pickup,Unknown,al,6.0
59900,2019.0,Ford,Ford F-150,like new,gas,6090.0,clean,automatic,4wd,offroad,white,al,6.0
9495,2013.0,Toyota,Toyota Camry,excellent,gas,152000.0,clean,automatic,fwd,sedan,silver,al,5.0
21590,2018.0,Toyota,Toyota Camry,good,other,24527.0,clean,other,fwd,sedan,black,al,4.0
12500,2009.0,Ford,Ford F-150,excellent,gas,194924.0,clean,automatic,rwd,pickup,white,al,8.0
8900,2011.0,Toyota,Toyota Camry,excellent,gas,164000.0,clean,automatic,fwd,sedan,white,al,4.0
34590,2018.0,Ford,Ford F-150,good,gas,20856.0,clean,other,4wd,pickup,white,al,6.0
24590,2017.0,Chevrolet,Chevrolet Silverado 1500,good,gas,40784.0,clean,other,4wd,pickup,white,al,6.0
31990,2016.0,Chevrolet,Chevrolet Silverado 1500,like new,gas,107597.0,clean,automatic,4wd,pickup,white,al,8.0
15950,2011.0,Chevrolet,Chevrolet Silverado 1500,good,gas,147991.0,clean,automatic,rwd,pickup,silver,al,8.0
3600,1997.0,Ford,Ford F-150,good,gas,206000.0,clean,manual,4wd,truck,silver,al,8.0
16700,2013.0,Ford,Ford F-150,good,gas,180917.0,clean,other,4wd,truck,Unknown,al,8.0
23900,2013.0,Ford,Ford F-150,like new,gas,147898.0,clean,automatic,4wd,other,black,al,6.0
34900,2013.0,Ford,Ford F-150,like new,other,130818.0,clean,automatic,4wd,pickup,red,al,8.0
14655,2015.0,Toyota,Toyota Camry,good,gas,133131.0,clean,automatic,fwd,sedan,white,al,4.0
26990,2016.0,Ford,Ford F-150,good,gas,14230.0,clean,other,4wd,pickup,black,al,6.0
4995,2007.0,Toyota,Toyota Camry,excellent,gas,166000.0,clean,automatic,fwd,sedan,green,al,4.0
34590,2016.0,Chevrolet,Chevrolet Silverado 1500,good,gas,29499.0,clean,other,4wd,pickup,silver,al,6.0
10999,2006.0,Ford,Ford F-150,excellent,gas,133000.0,clean,automatic,4wd,truck,Unknown,al,8.0
18400,2012.0,Ford,Ford F-150,like new,other,159936.0,clean,automatic,4wd,pickup,white,al,8.0
15990,2015.0,Toyota,Toyota Camry,good,hybrid,56696.0,clean,other,fwd,sedan,black,al,4.0
12990,2008.0,Ford,Ford F-150,good,gas,150075.0,clean,automatic,rwd,truck,white,al,8.0
26990,2014.0,Chevrolet,Chevrolet Silverado 1500,good,gas,63129.0,clean,automatic,4wd,pickup,black,al,6.0
28989,2013.0,Ford,Ford F-150,like new,gas,91989.0,clean,automatic,4wd,pickup,white,al,8.0
29989,2015.0,Ford,Ford F-150,like new,gas,68143.0,clean,automatic,4wd,pickup,white,al,6.0
32990,2019.0,Chevrolet,Chevrolet Silverado 1500,good,other,6897.0,clean,other,4wd,pickup,black,al,8.0
33990,2016.0,Chevrolet,Chevrolet Silverado 1500,like new,gas,117895.0,clean,automatic,4wd,pickup,white,al,8.0
36990,2017.0,Ford,Ford F-150,good,other,15443.0,clean,automatic,4wd,pickup,red,al,6.0
23173,2012.0,Chevrolet,Chevrolet Silverado 1500,good,gas,131352.0,clean,automatic,4wd,truck,silver,al,8.0
29900,2019.0,Ford,Ford F-150,like new,gas,23004.0,clean,automatic,rwd,truck,white,al,8.0
37900,2020.0,Chevrolet,Chevrolet Silverado 1500,like new,gas,5622.0,clean,automatic,rwd,truck,white,al,8.0
12995,2013.0,Toyota,Toyota Camry,excellent,gas,68436.0,clean,automatic,fwd,sedan,red,al,4.0
22590,2013.0,Ford,Ford F-150,good,other,14169.0,clean,other,4wd,pickup,silver,al,6.0
24990,2012.0,Chevrolet,Chevrolet Silverado 1500,good,gas,26460.0,clean,other,4wd,pickup,red,al,8.0
28989,2013.0,Ford,Ford F-150,like new,gas,98595.0,clean,automatic,4wd,pickup,grey,al,8.0
27897,2013.0,Chevrolet,Chevrolet Silverado 1500,excellent,gas,55033.0,clean,other,rwd,truck,red,al,8.0
